occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m,ecosystem_code,Temperatur,Moisture,Landcover,Landforms,Climate_Re,Red,Green,Blue,W_Ecosystm,color
3216,Vespa velutina,NL,NA,gbif,6.1,51.35,NA,NA,25,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3217,Vespa velutina,BE,NA,gbif,4.26,50.86,11.234615384615438,59.30769230769231,58,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3218,Vespa velutina,BE,NA,gbif,4.45,50.93,11.442307692307736,53.92307692307692,13,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36
3219,Vespa velutina,BE,NA,gbif,3.57,50.81,11.434615384615428,53.84615384615385,28,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
3220,Vespa velutina,BE,NA,gbif,4.04,50.98,NA,NA,6,160,Warm Temperate,Moist,Cropland,Plains,Warm Temperate Moist,105,207,54,Warm Temperate Moist Cropland on Plains,#69CF36
3221,Vespa velutina,NA,"Esserts-Salève, 74560 Monnetier-Mornex, France",inat,6.21,46.15,9.58076923076925,107.15384615384616,771,97,Cool Temperate,Moist,Forest,Mountains,Cool Temperate Moist,6,64,0,Cool Temperate Moist Forest on Mountains,#064000
3222,Vespa velutina,NA,"Prades-le-Lez, France",inat,3.88,43.69,14.842307692307712,38,96,165,Warm Temperate,Moist,Shrubland,Hills,Warm Temperate Moist,88,172,29,Warm Temperate Moist Shrubland on Hills,#58AC1D
3223,Vespa velutina,FR,NA,gbif,3.9,43.6,15.44230769230768,35.23076923076923,17,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34
3224,Vespa velutina,NA,"Chemin du Vallat, Aubagne, Provence-Alpes-Côte d'Azur, FR",inat,5.57,43.31,15.142307692307782,42.76923076923077,156,173,Warm Temperate,Moist,Cropland,Mountains,Warm Temperate Moist,100,150,37,Warm Temperate Moist Cropland on Mountains,#649625
3225,Vespa velutina,BE,NA,gbif,3.44,50.93,11.419230769230808,58.15384615384615,8,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3226,Vespa velutina,NL,NA,gbif,5.55,51.4,NA,NA,23,111,Cool Temperate,Moist,Forest,Plains,Cool Temperate Moist,1,109,0,Cool Temperate Moist Forest on Plains,#016D00
3227,Vespa velutina,BE,NA,gbif,4.47,51.15,11.39615384615388,57.92307692307692,17,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3228,Vespa velutina,NA,"Grand Palais, 75008 Paris, France",inat,2.31,48.87,12.44230769230768,51.15384615384615,49,169,Warm Temperate,Moist,Settlement,Hills,Warm Temperate Moist,136,158,52,Warm Temperate Moist Settlement on Hills,#889E34
3229,Vespa velutina,NA,"2710 Sintra, Portugal",inat,-9.38,38.79,14.657692307692344,42.84615384615385,242,178,Warm Temperate,Moist,Cropland,Tablelands,Warm Temperate Moist,61,89,194,Warm Temperate Moist Cropland on Tablelands,#3D59C2
3230,Vespa velutina,ES,NA,gbif,-8.43,42.9,12.980769230769226,146.92307692307693,361,178,Warm Temperate,Moist,Cropland,Tablelands,Warm Temperate Moist,61,89,194,Warm Temperate Moist Cropland on Tablelands,#3D59C2
3231,Vespa velutina,BE,NA,gbif,4.57,50.93,11.465384615384664,50.30769230769231,14,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3232,Vespa velutina,BE,NA,gbif,4.98,51.18,NA,NA,21,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3233,Vespa velutina,NL,NA,gbif,6,51.25,NA,NA,18,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3234,Vespa velutina,NA,"Rue du Cimetière, Heisdorf, Distrikt Luxemburg, LU",inat,6.14,49.68,10.550000000000068,61.30769230769231,300,110,Cool Temperate,Moist,Cropland,Hills,Cool Temperate Moist,33,144,30,Cool Temperate Moist Cropland on Hills,#21901E
3235,Vespa velutina,BE,NA,gbif,3.71,51.06,NA,NA,8,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
3236,Vespa velutina,NL,NA,gbif,6.05,51.5,11.288461538461547,54.69230769230769,23,116,Cool Temperate,Moist,Cropland,Plains,Cool Temperate Moist,29,153,10,Cool Temperate Moist Cropland on Plains,#1D990A
3237,Vespa velutina,BE,NA,gbif,3.72,51.08,11.434615384615428,59.84615384615385,7,120,Cool Temperate,Moist,Settlement,Plains,Cool Temperate Moist,78,119,2,Cool Temperate Moist Settlement on Plains,#4E7702
