occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
3481,Vespa velutina,NA,"Neubadstrasse, Basel, BS, CH",inat,7.57,47.55,11.488461538461593,67.6923076923077,297
3482,Vespa velutina,NA,Nyons,inat,5.13,44.36,13.650000000000034,55.53846153846154,385
3483,Vespa velutina,NA,2124 Luxembourg,inat,6.14,49.63,10.342307692307712,64.53846153846153,314
3484,Vespa velutina,NA,"Rue des Bois, Holtz, District Diekirch, LU",inat,5.79,49.8,9.350000000000025,77.61538461538461,427
3485,Vespa velutina,NA,"Mont d'Or, 1007 Lausanne, Suisse",inat,6.61,46.52,NA,NA,422
3486,Vespa velutina,NA,"Tolbiac - Baudricourt, 75013 Paris, France",inat,2.36,48.83,12.38846153846157,52.53846153846154,52
3487,Vespa velutina,BE,NA,gbif,3.71,50.98,11.426923076923115,56.69230769230769,8
3488,Vespa velutina,NL,NA,gbif,5.05,52,NA,NA,1
3489,Vespa velutina,BE,NA,gbif,4.79,50.95,11.296153846153857,50.07692307692308,29
3490,Vespa velutina,NA,"42400 Saint-Chamond, France",inat,4.5,45.46,12.41153846153844,53.38461538461539,461
3491,Vespa velutina,NL,NA,gbif,4,51.3,NA,NA,-8
3492,Vespa velutina,NA,"Porto, Portugal",inat,-8.66,41.16,15.603846153846176,109.76923076923076,58
3493,Vespa velutina,NL,NA,gbif,4.45,51.5,NA,NA,7
3494,Vespa velutina,BE,NA,gbif,5.01,50.95,11.38846153846157,49.76923076923077,48
3495,Vespa velutina,BE,NA,gbif,5.09,51.08,11.457692307692357,50,23
3496,Vespa velutina,NA,"Rhône, Rhône-Alpes, FR",inat,4.95,45.63,12.919230769230808,64.53846153846153,254
3497,Vespa velutina,NA,"Neiro, Santiago de Compostela, A Coruña, ES",inat,-8.47,42.89,12.773076923076928,157.84615384615384,374
3498,Vespa velutina,BE,NA,gbif,4.38,51.11,11.411538461538557,57.92307692307692,14
3499,Vespa velutina,NL,NA,gbif,4.9,51.6,NA,NA,11
3500,Vespa velutina,BE,NA,gbif,4.67,51.18,11.503846153846212,56.15384615384615,5
3501,Vespa velutina,BE,NA,gbif,4.48,51.17,11.426923076923115,57.84615384615385,13
3502,Vespa velutina,NA,"Coudekerque-Branche, France",inat,2.39,51.01,11.603846153846176,69.46153846153847,3
3503,Vespa velutina,BE,NA,gbif,4.34,51.13,11.488461538461593,57.46153846153846,9
