id,occurrence_id,latitude,longitude
561,3265,51.95,4.6
562,4655,50.94,5.3
563,2802,51.5,3.85
564,3938,51.08,5.11
565,3082,51.4,3.85
566,3464,50.94,5.26
567,2512,50.87,3.15
568,4916,43.78,7.51
569,4729,51.39,5.12
570,4088,38.77,-9.19
571,4427,50.91,3.69
572,4875,47.62,-2.77
573,4139,50.96,3.69
574,3227,51.15,4.47
575,3372,50.8,5.65
576,4984,50.11,8.68
577,4426,50.86,4.71
578,3949,39.66,2.47
579,3142,50.95,5.34
580,2929,42.11,-8.81
581,2742,50.88,4.75
582,2786,51.09,4.84
583,3139,43.33,3.13
584,4044,51.5,4.2
585,3074,50.94,4.03
586,4463,44.76,-1.14
587,4270,41.22,-8.62
588,4504,42.18,-8.73
589,3313,51.3,4.74
590,2989,51.03,5.81
591,3589,51.04,3.64
592,3661,50.92,4.39
593,2862,43.2,-4.91
594,2687,38.72,-9.13
595,3400,51.16,3.26
596,3023,51.7,5.3
597,3920,51,3.75
598,3613,50.85,5.7
599,4127,43.66,6.98
600,3924,50.88,3.45
601,3289,46.16,-1.15
602,2751,51.25,3.85
603,3299,51.4,4.3
604,3670,51.07,4.35
605,3158,50.94,4.52
606,4364,51.3,5.9
607,3817,51.18,4.48
608,4998,50.99,5.06
609,4018,43.74,4.8
610,4383,48.38,-4.55
611,4911,51.08,4.32
612,4986,48.12,-4.57
613,2850,47.61,7.28
614,4240,50.83,3.5
615,3510,49.57,6.15
616,3172,51.01,3.79
617,3343,51.55,4.65
618,3230,42.9,-8.43
619,4432,42.48,-5.91
620,3488,38.71,-9.19
621,3235,51.06,3.71
622,2755,50.85,4.25
623,3027,48.84,2.46
624,3774,50.92,4.04
625,3936,51.6,4.7
626,3842,51.15,4.6
627,4223,41.39,2.15
628,3423,49.61,6.14
629,3127,49.2,8.11
630,3994,51.18,4.69
631,3679,51.01,4.58
632,2707,50.83,3.43
633,2505,50.77,6
634,3964,51.15,4.58
635,4706,51.02,3.78
636,4494,51.19,3.15
637,3433,49.61,6.13
638,2951,51.9,5.55
639,4751,48.81,2.14
640,3607,50.98,4.36
641,2792,43.58,-5.95
642,2815,50.12,8.64
643,4131,50.87,3.3
644,3541,50.32,7.63
645,3476,50.86,5.72
646,3117,51.06,4.36
647,4178,51.15,5.8
648,2639,51.03,3.04
649,2554,46.33,-0.47
650,4681,46.11,-1.12
651,4847,50.79,3.24
652,2768,51.9,5.85
653,4951,41.45,-8.39
654,4051,49.51,5.92
655,3218,50.93,4.45
656,3902,49.35,5.4
657,3414,47.64,7.02
658,3791,44.71,4.21
659,2648,38.77,-9.11
660,4213,52.1,4.4
661,4699,50.75,5.08
662,2623,51.14,4.55
663,3699,51.55,5.6
664,3240,51.7,4.35
665,2614,51.35,3.33
666,3166,51.16,4.48
667,3239,51.23,4.52
668,4792,50.89,4.7
669,4369,42.74,-7.18
670,4502,49.69,5.88
671,2607,49.21,8.12
672,3860,42.01,1.52
673,3603,48.89,8.47
674,3161,40.21,-8.45
675,3832,51.55,4.8
676,4542,51.08,6.57
677,3555,43.33,-1.97
678,3393,50.83,4.45
679,3043,51.5,6.15
680,2934,51.98,5.67
681,4470,52.6,4.9
682,3758,40.64,-8.65
683,4905,51.22,3
684,3149,51.15,5.6
685,3201,51.17,4.42
686,4726,51.03,3.36
687,4958,50.92,4.06
688,3588,41.36,-8.3
689,2662,48.82,7.47
690,4064,50.8,5.9
691,3517,51.05,3.76
692,4236,51,5.68
693,2631,50.75,5.85
694,4863,41.81,3.06
695,4839,49.58,6.15
696,4832,50.84,3.11
697,3654,47.87,7.73
698,3826,49.45,8.4
699,3894,50.85,6
700,4778,50.98,5.26
701,4549,51.16,5.01
702,2791,42.51,0.13
703,3684,48.96,8.29
704,3297,49.86,8.66
705,3451,51.65,4.7
706,4411,38.67,-9.42
707,3543,41.41,2.16
708,4734,53.18,13.81
709,3024,52.1,5.35
710,4104,38.95,-9.24
711,4146,45.88,3.11
712,2817,49.14,8.28
713,3090,51.22,4.91
714,2659,51.14,4.55
715,3703,50.87,4.51
716,4462,38.8,-9.38
717,4838,38.63,-9.22
718,2709,42.3,2.17
719,3029,51.12,4.09
720,4454,44.43,8.81
721,4841,51.17,3.17
722,4279,50.97,3.71
723,3335,38.52,-8.9
724,4185,48.88,2.69
725,4785,47.56,7.6
726,4757,50.99,5.07
727,4072,43.79,7.03
728,4910,48.2,7.31
729,4533,50.84,5.65
730,3370,52.05,4.25
731,3726,50.91,4.23
732,3739,50.9,4.37
733,3254,50.81,4.65
734,3106,51.4,4.94
735,3856,52.2,5.15
736,2555,45.76,3.11
737,3780,50.38,3.81
738,4057,40.64,-8.64
739,4903,51.5,4.25
740,4700,50.96,3.97
741,3103,51.3,3.75
742,4087,50.93,3.94
743,3562,43.8,4.25
744,3319,38.73,-9.2
745,4512,49.67,5.59
746,3967,50.09,8.69
747,3410,51.31,4.85
748,3486,42.22,-2.09
749,4650,47.13,1
750,4341,46.68,4.35
751,3180,40.84,-8.46
752,3519,51.07,5.2
753,3912,51.57,3.55
754,3472,48.49,-2.02
755,3505,51.6,4.9
756,2944,51.15,3.23
757,4835,50.85,3.28
758,4480,49.79,7.1
759,3173,47.22,-1.69
760,4812,50.5,2.65
761,3438,51.16,4.14
762,4158,52.05,5.2
763,2972,43.73,7.1
764,4026,43.68,5.44
765,4741,50.78,5.52
766,2969,49.59,6.1
767,4776,51.15,4.44
768,4884,47.99,7.79
769,4937,47.22,-1.54
770,4001,51.35,6.15
771,3968,49.62,6.13
772,3858,50.99,4.54
773,2632,38.71,-9.17
774,4285,50.84,4.38
775,4200,49.48,8.44
776,2625,46.29,4.38
777,2935,50.98,4.04
778,4739,50.97,3.65
779,2565,50.88,4.28
780,4754,51.11,3.71
781,4233,51.3,4.45
782,2833,51.01,5.56
783,4115,50.71,4.48
784,4881,48.82,9.07
785,3456,50.99,3.91
786,3373,50.98,3.55
787,4184,50.98,4.46
788,4535,51.1,4.39
789,4342,51.02,4.47
790,2536,51.05,3.99
791,2799,50.83,3.29
792,3017,51.21,3.77
793,4552,50.84,4.32
794,4262,51,3.13
795,3099,50.9,5.9
796,3982,46.66,4.33
797,3067,51.4,4.3
798,3724,50.65,5.59
799,4118,49.67,6.14
800,4042,51.23,2.93
801,3194,51.32,3.25
802,4893,51.75,5.3
803,4283,51.5,3.45
804,2898,49.74,6.12
805,2717,51.18,4.98
806,3857,50.87,3.87
807,3499,51.5,4.45
808,3789,51.8,4.4
809,4141,49.82,6.77
810,4112,51.06,4.79
811,3309,49.96,5.98
812,4909,41.14,-8.66
813,3405,50.77,4.64
814,2624,50.9,5.35
815,2990,49.71,6.42
816,2982,51.03,4.26
817,2665,51.25,6.74
818,4908,48.84,2.47
819,3206,51.22,4.26
820,3800,51.03,4.46
821,3114,51.4,4.9
822,4355,50.95,5.39
823,3880,50.84,4.49
824,2712,50.97,5.47
825,3246,50.87,3.83
826,3480,42.22,2.55
827,3766,50.92,4.38
828,3796,48.83,-3.48
829,3028,50.98,3.19
830,3288,38.69,-9.43
831,2870,50.9,4.21
832,3277,51.02,2.87
833,4268,49.04,2.06
834,3756,51.12,4.52
835,3101,51.06,3.71
836,4770,51.03,4.1
837,3614,50.8,4.37
838,3956,50.9,4.28
839,4034,50.77,5.44
840,4239,51.17,4.42
841,2579,51.07,3.77
842,3403,50.87,4.35
843,3872,47.26,5.01
844,4743,49.84,7.88
845,4182,50.97,3.58
846,3037,48.4,-4.48
847,2518,51.07,5.42
848,3493,50.98,3.71
849,2871,49.41,8.67
850,4163,40.44,-8.75
851,2775,51.06,3.72
852,2664,49.3,8.34
853,4152,50.84,4.49
854,4107,48.11,-1.7
855,4581,43.26,1.2
856,4276,43.68,7.21
857,4524,51.03,5.35
858,2769,50.94,3.2
859,2532,49.18,-2.1
860,4943,51.36,4.31
861,3229,38.79,-9.38
862,2740,41.14,1.07
863,4511,50.93,4.7
864,3831,43.51,5.44
865,4766,51.4,5.65
866,3778,51.27,3.18
867,2868,48.75,5.18
868,2872,51.04,5.59
869,4294,49.61,6.13
870,4363,51.04,3.63
871,3844,50.83,5.24
872,4822,43.36,-5.84
873,3583,41.25,1.8
874,3186,50.89,5.3
875,3261,51.28,6.25
876,3668,51.5,4.2
877,2722,38.44,-9.18
878,2795,51.55,4.9
879,3136,51.14,4.15
880,3112,51,4.28
881,3086,39.55,-9.11
882,3233,51.25,6
883,4136,42.54,2.92
884,2831,51.2,2.86
885,3664,50.84,4.41
886,4065,51.04,3.73
887,3719,38.69,-9.43
888,3526,51.05,3.57
889,4809,51,3.33
890,4880,49.61,6.13
891,4518,51.62,4.84
892,4216,50.92,3.99
893,4862,50.76,3.87
894,3772,51.06,3.71
895,3083,50.97,3.09
896,4225,51.11,4.08
897,3006,51.06,3.69
898,4214,51.4,3.8
899,2772,51.04,3.7
900,2908,50.91,4.25
901,4421,50.75,4.53
902,3207,50.98,4.87
903,4946,50.95,5.8
904,4806,44.3,7.9
905,4180,51.06,4.03
906,4582,42.87,-8.52
907,4628,50.9,5.8
908,4234,51.06,3.09
909,4315,51.23,4.48
910,4791,51.11,4.22
911,4447,46.27,-0.58
912,4079,49.32,6.75
913,4531,50.96,4.61
914,3416,50.82,4.85
915,3342,48.96,9.02
916,4978,51.9,4.55
917,4221,49.5,6.37
918,3845,50.96,3.51
919,3947,51.03,4.48
920,4175,47.35,1.76
921,3514,48.86,2.39
922,3809,51.65,5.3
923,3743,52.05,4.45
924,4768,50.96,4.72
925,2569,50.83,5.15
926,3698,50.85,4.68
927,3312,51.21,4.35
928,4798,50.47,4.59
929,4606,51.24,4.64
930,4678,42.17,2.58
931,4800,50.88,4.7
932,4303,50.98,3.62
933,3692,51.35,4.32
934,3572,50.79,5.21
935,4433,50.14,8.73
936,4053,50.95,5.8
937,4402,48.84,2.36
938,2741,48.47,2.69
939,4238,51.04,3.71
940,4712,42.16,2.64
941,3666,51.22,4.29
942,2724,52.37,4.52
943,2756,41.41,2.17
944,4728,49.44,1.09
945,4859,51.09,4.75
946,4622,50.98,4.55
947,3752,51.16,4.19
948,3245,50.12,8.66
949,3765,50.84,4.29
950,4368,45.77,4.86
951,4693,51.26,3.58
952,4901,50.81,4.95
953,3138,52.45,4.95
954,3296,51.17,4.44
955,4384,51.01,5.72
956,2880,43.95,4.54
957,2577,51.34,3.29
958,3467,43.56,1.47
959,3898,51.22,4.26
960,4039,51.09,3.76
961,2971,40.78,-8.69
962,4749,50.99,3.64
963,4048,51.28,4.84
964,2844,50.79,7.16
965,4312,38.71,-9.34
966,4436,51.1,6
967,3557,51,3.75
968,4915,48.82,2.36
969,3205,50.52,6.56
970,4727,51.04,3.71
971,4609,51.06,4.78
972,3753,50.91,4.74
973,3412,44.36,5.13
974,3303,50.84,4.49
975,3283,51.4,5.4
976,4253,41.33,-8.54
977,4332,50.8,5.85
978,4940,51.45,5.45
979,4565,50.85,4.38
980,4314,50.87,4.67
981,4529,52.1,4.95
982,3426,51.12,3.92
983,4205,51.21,4.4
984,4683,51.05,3.71
985,3025,51.3,4.48
986,4093,51.15,6
987,4137,51.45,5.4
988,3781,50.9,4.35
989,3192,50.98,4.35
990,4887,51.16,4.46
991,3768,50.47,4.91
992,4972,38.72,-9.15
993,4273,41.38,2.12
994,4484,51.13,5.01
995,3490,39.73,-7.66
996,3942,39.83,-8.99
997,3566,51,4.09
998,4162,50.85,6
999,3785,43.92,4.88
1000,3143,39.25,-8.69
