"longitude","latitude"
0.73319,43.56426
4.82468,50.93452
2.97764,51.16412
3.79013,50.92416
5.486572,50.618376
10.685002,59.806212
3.27805,50.82947
4.65297,51.11601
3.57084,51.07647
4.2521,50.86744
12.739,56.14812
4.6909,50.86307
7.882034,50.848165
3.37831,50.8838
4.027393,48.934731
5.55,51.7
7.748918,50.377818
4.47301,51.00983
4.48822,50.83983
4.50915,50.83556
-3.00913,47.84069
6.65,53.1
4.65,52.7
6.045233,50.769062
7.939474,48.470367
3.81582,51.03068
7.07905,46.70314
4.47057,51.02966
2.91497,51.2016
4.92486,50.81395
7.303524,52.537613
2.95931,51.2427
4.27903,51.07704
6.1,51.15
13.232803,52.779686
3.85294,51.20643
4.32835,50.7452
5.4125,50.94728
5.3,52.1
4.47107,51.13807
3.19581,50.93553
6.5,52.35
6.05,51.9
5.14881,51.07426
4.70158,50.87102
2.89124,50.85825
3.76697,51.00844
3.53996,50.98498
5.15,51.4
5.95,50.75
3.20868,50.997
4.8,51.55
14.2736,55.66669
5.15,52.3
-5.610758,36.227112
3.7,51.65
7.67074,47.46804
4.92619,50.96378
3.97854,51.09887
9.377214,50.298715
4.42108,51.19905
4.48348,51.01286
5.05,52
-0.26146,45.00811
4.67541,50.91141
5.8,51.6
11.666926,48.103706
4.901823,50.294645
5.5,52
3.6,51.3
4.4873,51.3276
4.45,51.5
13.411734,51.231583
4.6829,51.29904
4.75724,51.16453
3.33284,50.89981
4.25,51.45
5.3,51.5
5.3,51.55
8.701158,51.687038
18.70747,59.74943
3.8,51.4
5.08478,51.26179
4.98645,51.07085
4.12906,51.1049
13.284871,52.569979
4.44094,50.60268
4.7477,50.20952
0.119116,51.480445
4.70019,50.86972
3.15803,50.83435
4.139881,50.610646
9.210308,49.464157
9.657798,47.343492
6.65,52.35
5.3,51.35
11.359232,48.132195
4.64756,51.3933
4.268193,50.739185
5.65,50.8
4.36816,50.77031
4.7557,50.77807
4.681313,50.592146
4.44736,51.16742
6.74755,47.06143
4.90615,51.13508
3.87961,50.9784
5.06669,50.72506
3.21096,51.20961
4.35,51.5
12.182187,45.563182
15.63743,48.16452
5.2,53.35
7.909957,48.424642
5.63138,51.17964
13.084019,52.376466
8.292483,47.491412
6.94707,46.83758
6.05,52.95
6.1,52.55
3.95692,50.7676
4.5,52.05
-1.690722,42.7896
5.07317,50.5848
3.39272,50.83559
12.173424,51.35705
2.144281,41.44037
3.66678,51.01945
7.870174,48.024323
5.10911,51.18749
2.364185,48.843937
4.46268,50.83518
13.107622,52.412434
3.671157,49.887642
3.76583,51.13587
4.45385,51.17953
4.46253,51.16067
3.42979,51.1986
6.88012,46.9722
5.15,51.5
9.57872,51.403973
8.493604,48.800655
8.708262,50.04464
3.23601,51.06178
3.70604,50.88162
3.75529,51.08246
4.48378,51.35643
4.6,51.9
10.340778,50.331066
4.23574,51.08838
8.313977,51.656597
10.234783,45.058022
11.45944,48.109192
3.296113,50.81003
4.8,51.6
6.95115,46.38781
4.68775,51.36153
11.890234,54.853923
3.65652,50.9716
12.554905,50.705653
-8.810872,42.110374
3.5934,50.75423
5.448458,50.584289
4.516301,50.816952
11.017658,49.510861
6.1,52
5.9,51.15
4.526272,51.177392
4.26013,51.22461
4.55997,51.12883
3.869145,50.154111
13.26421,52.565578
3.65769,50.93796
27.728952,60.503597
3.83552,51.07335
6.753916,51.259834
17.09723,58.97644
5.75653,50.62176
3.5476,51.03235
5.05,52
7.60345,47.15335
3.4213,50.80918
4.540825,50.612789
10.332306,52.302856
4.7,51.8
8.819673,49.212639
3.82136,51.19694
4.25,51.5
0.65918,47.4537
16.3946,58.12501
3.3762,50.89616
2.88992,51.21073
4.16318,50.60469
-1.550592,50.948678
5.1,52.05
4.0359,50.9672
4.68485,50.86598
8.778247,49.688419
1.25789,47.48011
7.414265,53.099335
5.85,50.95
4.4879,50.93447
3.896594,50.952344
7.93185,47.01749
6.30028,46.42812
4.47523,51.38875
7.15,53.2
0.33574,46.5403
8.9534,45.92889
4.5483,51.02096
4.36674,51.10031
4.47352,50.92614
2.87919,51.21064
4.08067,50.99059
8.4666,48.798946
4.97121,51.12607
